year,category,amount,municipality
2022,Skrifstofur miðlægrar stjórnsýslu,-6749036.0,Reykjavík
2021,Skrifstofur miðlægrar stjórnsýslu,-5832551.0,Reykjavík
2020,Skrifstofur miðlægrar stjórnsýslu,-5303059.0,Reykjavík
2019,Skrifstofur miðlægrar stjórnsýslu,-4702914.0,Reykjavík
2018,Skrifstofur miðlægrar stjórnsýslu,-3642582.0,Reykjavík
2017,Skrifstofur miðlægrar stjórnsýslu,-3166125.0,Reykjavík
2016,Skrifstofur miðlægrar stjórnsýslu,-2810457.0,Reykjavík
2015,Skrifstofur miðlægrar stjórnsýslu,-2744081.0,Reykjavík
2014,Skrifstofur miðlægrar stjórnsýslu,-2581528.0,Reykjavík
2013,Skrifstofur miðlægrar stjórnsýslu,-2323776.0,Reykjavík
2022,Umhverfis- og skipulagssvið,-13067261.0,Reykjavík
2021,Umhverfis- og skipulagssvið,-10617851.0,Reykjavík
2020,Umhverfis- og skipulagssvið,-9642743.0,Reykjavík
2019,Umhverfis- og skipulagssvið,-7508163.0,Reykjavík
2018,Umhverfis- og skipulagssvið,-6854854.0,Reykjavík
2017,Umhverfis- og skipulagssvið,-5812183.0,Reykjavík
2016,Umhverfis- og skipulagssvið,-6469033.0,Reykjavík
2015,Umhverfis- og skipulagssvið,-6463167.0,Reykjavík
2014,Umhverfis- og skipulagssvið,-5987960.0,Reykjavík
2013,Umhverfis- og skipulagssvið,-6143374.0,Reykjavík
2022,Velferðarsvið,-40019468.0,Reykjavík
2021,Velferðarsvið,-35347504.0,Reykjavík
2020,Velferðarsvið,-31249651.0,Reykjavík
2019,Velferðarsvið,-27310257.0,Reykjavík
2018,Velferðarsvið,-24367585.0,Reykjavík
2017,Velferðarsvið,-21964941.0,Reykjavík
2016,Velferðarsvið,-20573602.0,Reykjavík
2015,Velferðarsvið,-19841148.0,Reykjavík
2014,Velferðarsvið,-18699685.0,Reykjavík
2013,Velferðarsvið,-16493390.0,Reykjavík
